kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Sijunjung,0.97,0.27,16.28,6.78,SUMATERA BARAT,93.03,Kabupaten Sijunjung,
Tanah Datar,0.42,0.06,15.34,4.4,SUMATERA BARAT,97.57,Kabupaten Tanah Datar,
Padang Pariaman,0.67,0.11,28.98,6.95,SUMATERA BARAT,92.69,Kabupaten Padang Pariaman,
Agam,0.79,0.17,33.31,6.75,SUMATERA BARAT,97.01,Kabupaten Agam,
Lima Puluh Kota,0.78,0.14,26.43,6.86,SUMATERA BARAT,95.03,Kabupaten Lima Puluh Kota,
Pasaman,0.7,0.11,20.29,7.16,SUMATERA BARAT,92.45,Kabupaten Pasaman,
Solok Selatan,0.79,0.15,12.39,7.15,SUMATERA BARAT,95.08,Kabupaten Solok Selatan,
Dharmasraya,0.71,0.13,15.7,6.23,SUMATERA BARAT,88.31,Kabupaten Dharmasraya,
Pasaman Barat,0.62,0.09,31.64,7.04,SUMATERA BARAT,90.26,Kabupaten Pasaman Barat,
Kota Padang,0.45,0.09,42.17,4.4,SUMATERA BARAT,93.64,Kota Padang,
Kota Solok,0.27,0.04,1.99,2.77,SUMATERA BARAT,97.05,Kota Solok,
Kota Sawah Lunto,0.07,0.0,1.36,2.16,SUMATERA BARAT,95.48,Kota Sawah Lunto,
Kota Padang Panjang,0.46,0.08,2.84,5.24,SUMATERA BARAT,97.7,Kota Padang Panjang,
Kota Bukittinggi,0.56,0.2,6.01,4.54,SUMATERA BARAT,98.89,Kota Bukittinggi,
Kota Payakumbuh,0.71,0.14,7.74,5.65,SUMATERA BARAT,98.46,Kota Payakumbuh,
Kota Pariaman,0.49,0.1,3.66,4.1,SUMATERA BARAT,98.49,Kota Pariaman,
Kuantan Singingi,1.44,0.32,29.34,8.91,RIAU,90.16,Kabupaten Kuantan Singingi,
Indragiri Hulu,0.78,0.17,26.66,5.96,RIAU,86.94,Kabupaten Indragiri Hulu,
Indragiri Hilir,0.96,0.27,44.29,5.93,RIAU,82.34,Kabupaten Indragiri Hilir,
Pelalawan,1.31,0.31,45.88,9.16,RIAU,88.06,Kabupaten Pelalawan,
Siak,1.27,0.45,25.38,5.09,RIAU,88.62,Kabupaten Siak,
Kampar,0.77,0.13,65.3,7.38,RIAU,89.52,Kabupaten Kampar,
Rokan Hulu,2.04,0.57,73.35,10.31,RIAU,81.88,Kabupaten Rokan Hulu,
Bengkalis,0.72,0.14,36.96,6.4,RIAU,90.07,Kabupaten Bengkalis,
Rokan Hilir,1.1,0.3,48.85,6.72,RIAU,84.91,Kabupaten Rokan Hilir,
Kepulauan Meranti,4.32,1.11,47.1,25.28,RIAU,86.3,Kabupaten Kepulauan Meranti,
Kota Pekanbaru,0.48,0.13,30.4,2.62,RIAU,93.01,Kota Pekanbaru,
Kota Dumai,0.31,0.05,9.88,3.16,RIAU,90.66,Kota Dumai,
Kerinci,1.05,0.21,17.48,7.3,RIAU,86.65,Kabupaten Kerinci,
Merangin,0.94,0.21,33.92,8.63,RIAU,88.14,Kabupaten Merangin,
Sarolangun,1.08,0.21,25.79,8.42,RIAU,90.55,Kabupaten Sarolangun,
Batang Hari,1.28,0.27,26.54,9.65,RIAU,85.01,Kabupaten Batang Hari,
Muaro Jambi,0.31,0.05,17.3,3.83,RIAU,80.08,Kabupaten Muaro Jambi,
