,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Bengkulu Selatan,3.29,0.82,28.41,17.82
Rejang Lebong,1.79,0.35,41.47,15.85
Bengkulu Utara,1.58,0.37,36.67,11.67
Kaur,2.77,0.63,22.57,18.47
Seluma,2.87,0.70,36.23,18.56
Mukomuko,1.52,0.38,23.10,11.72
Lebong,1.45,0.35,13.97,11.85
Kepahiang,1.90,0.37,20.27,14.69
Bengkulu Tengah,1.25,0.25,10.79,9.30
Kota Bengkulu,3.51,1.02,69.12,17.65
LAMPUNG,1.90,0.41,1049.32,12.34
Lampung Barat,2.01,0.55,38.12,12.52
Tanggamus,1.36,0.24,70.37,11.68
Lampung Selatan,2.52,0.60,143.33,14.08
Lampung Timur,2.50,0.64,153.57,14.62
Lampung Tengah,1.63,0.33,152.28,11.82
Lampung Utara,2.88,0.69,119.35,19.30
Way Kanan,1.90,0.39,58.41,12.90
Tulangbawang,1.24,0.26,42.43,9.33
Pesawaran,2.18,0.48,66.04,14.76
Pringsewu,1.20,0.21,40.12,9.97
Mesuji,0.88,0.19,14.72,7.33
Tulang Bawang Barat,0.92,0.18,20.29,7.39
Pesisir Barat,1.80,0.35,22.24,14.29
Kota Bandar Lampung,1.61,0.45,93.74,8.81
Kota Metro,0.94,0.16,14.31,8.47
KEP. BANGKA BELITUNG,0.60,0.13,68.40,4.53
Bangka,0.47,0.09,15.41,4.51
Belitung,0.74,0.16,12.07,6.27
Bangka Barat,0.23,0.04,5.83,2.70
Bangka Tengah,0.72,0.14,9.64,4.85
Bangka Selatan,0.53,0.13,7.49,3.52
Belitung Timur,0.70,0.19,8.56,6.52
Kota Pangkal Pinang,0.60,0.12,9.40,4.36
KEPULAUAN RIAU,1.11,0.29,131.97,5.92
Karimun,0.59,0.08,15.99,6.83
Bintan,0.81,0.17,10.21,6.36
