Provinsi/Kabupaten/Kota,"Indeks Pembangunan Gender (IPG) 
2020"
Magetan,93.36
Ngawi,92.19
Bojonegoro,90.17
Tuban,87.78
Lamongan,88.59
Gresik,89.93
Bangkalan,86.88
Sampang,85.50
Pamekasan,86.17
Sumenep,80.81
Kota Kediri,94.39
Kota Blitar,97.46
Kota Malang,94.97
Kota Probolinggo,95.87
Kota Pasuruan,96.16
Kota Mojokerto,93.26
Kota Madiun,94.38
Kota Surabaya,93.58
Kota Batu,89.72
BANTEN,91.74
Pandeglang,86.71
Lebak,79.81
Tangerang,90.98
Serang,92.14
Kota Tangerang,95.06
Kota Cilegon,87.22
Kota Serang,92.28
Kota Tangerang Selatan,93.58
BALI,93.79
Jembrana,93.38
Tabanan,95.36
Badung,95.51
Gianyar,94.63
Klungkung,91.12
Bangli,91.54
Karangasem,88.93
Buleleng,91.59
Kota Denpasar,96.77
NUSA TENGGARA BARAT,90.45
Lombok Barat,88.85
Lombok Tengah,87.17
Lombok Timur,91.27
Sumbawa,93.67
Dompu,91.02
Bima,91.50
Sumbawa Barat,92.77
Lombok Utara,85.44
Kota Mataram,92.79
Kota Bima,96.41
NUSA TENGGARA TIMUR,92.73
Sumba Barat,94.61
Sumba Timur,96.16
Kupang,88.23
Timor Tengah Selatan,94.91
Timor Tengah Utara,95.55
Belu,97.10
Alor,92.14
Lembata,91.29
Flores Timur,91.32
Sikka,89.15
Ende,95.64
Ngada,96.09
Manggarai,88.00
Rote Ndao,84.62
Manggarai Barat,86.67
Sumba Tengah,90.90
Sumba Barat Daya,97.62
Nagekeo,98.97
Manggarai Timur,90.50
Sabu Raijua,92.79
Malaka,89.49
Kota Kupang,95.73
KALIMANTAN BARAT,86.87
Sambas,87.07
Bengkayang,82.78
Landak,88.14
Mempawah,87.92
Sanggau,81.04
Ketapang,88.42
Sintang,86.73
Kapuas Hulu,84.91
Sekadau,82.65
Melawi,80.10
Kayong Utara,85.75
Kubu Raya,84.30
Kota Pontianak,93.73
Kota Singkawang,92.00
KALIMANTAN TENGAH,89.03
Kotawaringin Barat,91.67
Kotawaringin Timur,88.12
Kapuas,95.35
Barito Selatan,91.92
Barito Utara,87.26
Sukamara,91.01
Lamandau,91.94
Seruyan,89.36
Katingan,85.41
Pulang Pisau,92.06
Gunung Mas,92.09
Barito Timur,88.74
Murung Raya,83.56
Kota Palangka Raya,95.02
KALIMANTAN SELATAN,88.86
Tanah Laut,87.19
Kota Baru,84.15
Banjar,90.50
Barito Kuala,89.04
Tapin,84.08
Hulu Sungai Selatan,89.23
Hulu Sungai Tengah,96.50
Hulu Sungai Utara,91.52
Tabalong,85.34
Tanah Bumbu,84.60
Balangan,92.22
Kota Banjarmasin,93.37
Kota Banjar Baru,92.55
KALIMANTAN TIMUR,85.70
Paser,71.15
Kutai Barat,83.87
Kutai Kartanegara,78.90
Kutai Timur,76.26
Berau,87.61
Penajam Paser Utara,86.39
Mahakam Ulu,80.98
Kota Balikpapan,89.65
Kota Samarinda,89.27
Kota Bontang,86.87
KALIMANTAN UTARA,86.67
Malinau,81.36
Bulungan,85.10
Tana Tidung,77.57
Nunukan,82.29
Kota Tarakan,91.90
SULAWESI UTARA,94.42
Bolaang Mongondow,88.29
Minahasa,96.53
Kepulauan Sangihe,95.23
Kepulauan Talaud,97.90
Minahasa Selatan,88.74
Minahasa Utara,96.40
Bolaang Mongondow Utara,86.77
Siau Tagulandang Biaro,88.40
Minahasa Tenggara,91.88
Bolaang Mongondow Selatan,79.70
Bolaang Mongondow Timur,90.84
Kota Manado,96.23
Kota Bitung,94.19
Kota Tomohon,98.94
Kota Kotamobagu,95.37
SULAWESI TENGAH,91.87
Banggai Kepulauan,92.36
Banggai,90.83
Morowali,84.89
Poso,96.54
Donggala,88.34
Toli-Toli,89.73
Buol,89.25
Parigi Moutong,92.29
Tojo Una-Una,91.22
Sigi,93.26
Banggai Laut,91.31
Morowali Utara,95.98
Kota Palu,97.96
SULAWESI SELATAN,92.86
Kepulauan Selayar,91.63
Bulukumba,96.29
Bantaeng,95.78
Jeneponto,91.46
Takalar,87.56
Gowa,87.17
Sinjai,98.02
Maros,89.23
Pangkajene dan Kepulauan,89.85
Barru,95.52
Bone,92.89
Soppeng,97.26
Wajo,90.25
Sidenreng Rappang,92.06
Pinrang,95.16
Enrekang,97.41
Luwu,92.16
Tana Toraja,87.97
Luwu Utara,89.20
Luwu Timur,89.71
Toraja Utara,86.83
Kota Makasar,94.47
Kota Parepare,96.88
Kota Palopo,97.32
SULAWESI TENGGARA,90.50
Buton,80.18
Muna,87.59
Konawe,92.65
Kolaka,89.78
Konawe Selatan,87.73
Bombana,84.67
Wakatobi,88.39
Kolaka Utara,97.24
Buton Utara,92.02
Konawe Utara,86.17
Kolaka Timur,98.37
Konawe Kepulauan,85.00
Muna Barat,88.65
Buton Tengah,80.57
Buton Selatan,72.25
Kota Kendari,94.61
Kota Baubau,90.27
GORONTALO,86.73
Boalemo,81.15
Gorontalo,81.67
Pohuwato,91.36
Bone Bolango,87.54
Gorontalo Utara,81.16
Kota Gorontalo,86.23
SULAWESI BARAT,89.43
Majene,94.09
Polewali Mandar,91.56
Mamasa,97.79
Mamuju,90.57
Mamuju Utara,84.92
Mamuju Tengah,86.34
MALUKU,92.97
Maluku Tenggara Barat,86.44
Maluku Tenggara,96.63
Maluku Tengah,98.38
Buru,90.22
Kepulauan Aru,88.19
Seram Bagian Barat,98.44
Seram Bagian Timur,87.67
Maluku Barat Daya,90.08
Buru Selatan,86.39
Kota Ambon,97.78
Kota Tual,88.11
MALUKU UTARA,89.55
Halmahera Barat,88.30
Halmahera Tengah,89.53
Kepulauan Sula,91.97
Halmahera Selatan,86.49
Halmahera Utara,89.44
Halmahera Timur,81.43
Pulau Morotai,69.75
Pulau Taliabu,83.29
Kota Ternate,91.83
Kota Tidore Kepulauan,95.47
PAPUA BARAT,82.91
Fakfak,82.95
Kaimana,83.02
Teluk Wondama,79.28
Teluk Bintuni,86.17
Manokwari,83.69
Sorong Selatan,81.99
Sorong,85.95
Raja Ampat,77.64
Tambrauw,68.14
Maybrat,77.31
Manokwari Selatan,63.88
Pegunungan Arfak,76.94
Kota Sorong,91.62
PAPUA,79.59
Merauke,87.84
Jayawijaya,83.50
Jayapura,90.92
Nabire,90.37
Kepulauan Yapen,89.00
Biak Numfor,90.15
Paniai,67.88
Puncak Jaya,65.20
Mimika,77.03
Boven Digoel,79.18
Mappi,83.48
Asmat,53.59
Yahukimo,72.28
Pegunungan Bintang,80.01
Tolikara,59.58
Sarmi,82.35
Keerom,86.23
Waropen,70.13
Supiori,76.38
Mamberamo Raya,81.56
Nduga,84.09
Lanny Jaya,92.40
Mamberamo Tengah,86.79
Yalimo,82.60
Puncak,82.17
Dogiyai,80.82
Intan Jaya,70.40
Deiyai,70.17
Kota Jayapura,94.35
INDONESIA,91.06
